TelCon,Content code,start,end,duration,content,topic
F01,s,0,1.273,1.273,silence,other
F01,p,1.273,1.581,0.308,rM,other
F01,s,1.581,1.975,0.394,silence,other
F01,p,1.975,2.479,0.504,cF,other
F01,s,2.479,3.534,1.055,silence,other
F01,p,3.534,3.851,0.317,rM,other
F01,s,3.851,4.094,0.243,silence,other
F01,l,4.094,5.056,0.962,laughter_cF,other
F01,pl,5.056,5.215,0.159,cF laughter_rM,other
F01,p,5.215,9.428,4.213,cF,other
F01,s,9.428,9.918,0.49,silence,other
F01,l,9.918,10.548,0.63,laughter_rM,other
F01,p,10.548,11.78,1.232,rM,other
F01,p,11.78,11.836,0.056,cF,other
F01,pf,11.836,12.366,0.53,cF filler_rM,other
F01,p,12.366,12.879,0.513,cF,other
F01,s,12.879,13.598,0.719,silence,other
F01,p,13.598,16.193,2.595,rM,other
F01,pl,16.193,16.949,0.756,laughter_cF rM,other
F01,ll,16.949,17.35,0.401,laughter_cF laughter_rM,other
F01,l,17.35,18.619,1.269,laughter_cF,other
F01,p,18.619,23.659,5.04,cF,other
F01,s,23.659,24.079,0.42,silence,other
F01,p,24.079,29.162,5.083,rM,other
F01,s,29.162,29.856,0.694,silence,other
F01,p,29.856,39.213,9.357,cF,other
F01,p,39.213,39.639,0.426,rM,other
F01,pp,39.639,40,0.361,cF rM,other
F01,p,40,40.877,0.877,cF,other
F01,s,40.877,41.866,0.989,silence,other
F01,p,41.866,41.998,0.132,rM,other
F01,f,41.998,42.279,0.281,filler_cF,other
F01,pf,42.279,42.461,0.182,filler_cF rM,other
F01,p,42.461,42.709,0.248,rM,other
F01,s,42.709,43.96,1.251,silence,other
F01,p,43.96,45.15,1.19,cF,other
F01,pp,45.15,45.591,0.441,cF rM,other
F01,p,45.591,50.187,4.596,rM,other
F01,pp,50.187,50.86,0.673,cF rM,other
F01,p,50.86,51.009,0.149,rM,other
F01,s,51.009,51.667,0.658,silence,other
F01,p,51.667,51.92,0.253,cF,other
F01,pp,51.92,52.504,0.584,cF rM,other
F01,p,52.504,53.028,0.524,rM,other
F01,l,53.028,53.174,0.146,laughter_rM,other
F01,ll,53.174,53.984,0.81,laughter_cF laughter_rM,other
F01,f,53.984,55.083,1.099,filler_cF,other
F01,p,55.083,59.35,4.267,cF,other
F01,pp,59.35,59.598,0.248,cF rM,other
F01,p,59.598,63.013,3.415,cF,other
F01,l,63.013,63.289,0.276,laughter_cF,other
F01,ll,63.289,64.697,1.408,laughter_cF laughter_rM,other
F01,s,64.697,65.468,0.771,silence,other
F01,p,65.468,66.731,1.263,rM,other
F01,l,66.731,67.293,0.562,laughter_rM,other
F01,ll,67.293,67.657,0.364,laughter_cF laughter_rM,other
F01,l,67.657,68.798,1.141,laughter_cF,other
F01,p,68.798,71.424,2.626,cF,other
F01,s,71.424,72.399,0.975,silence,other
F01,p,72.399,72.713,0.314,cF,other
F01,pp,72.713,73.05,0.337,cF rM,other
F01,p,73.05,73.27,0.22,cF,other
F01,s,73.27,73.855,0.585,silence,other
F01,p,73.855,78.606,4.751,cF,other
F01,pf,78.606,78.954,0.348,cF filler_rM,other
F01,p,78.954,80.027,1.073,rM,other
F01,pl,80.027,80.502,0.475,laughter_cF rM,other
F01,p,80.502,81.792,1.29,rM,other
F01,l,81.792,82.393,0.601,laughter_cF,other
F01,pl,82.393,82.801,0.408,laughter_cF rM,other
F01,p,82.801,89.411,6.61,rM,other
F01,pl,89.411,91.423,2.012,laughter_cF rM,other
F01,l,91.423,92.663,1.24,laughter_cF,other
F01,p,92.663,97.598,4.935,cF,strategy
F01,s,97.598,98.107,0.509,silence,strategy
F01,p,98.107,98.427,0.32,rM,strategy
F01,s,98.427,98.609,0.182,silence,strategy
F01,f,98.609,99.413,0.804,filler_cF,strategy
F01,p,99.413,102.514,3.101,cF,strategy
F01,s,102.514,102.916,0.402,silence,strategy
F01,p,102.916,105.468,2.552,rM,strategy
F01,pp,105.468,105.76,0.292,cF rM,strategy
F01,p,105.76,108.697,2.937,rM,strategy
F01,pp,108.697,108.846,0.149,cF rM,strategy
F01,p,108.846,116.474,7.628,rM,strategy
